"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2014","2014",83.55231,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2015","2015",84.90913,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2016","2016",81.82694,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","CIV","Côte d'Ivoire","2012","2012",0.37429,"‡","UIS Estimation"
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","CIV","Côte d'Ivoire","2014","2014",0.40853,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","STP","Sao Tome and Principe","2012","2012",49.57511,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2012","2012",56.76434,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2013","2013",55.59499,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2014","2014",56.97715,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","ZWE","Zimbabwe","2014","2014",88.28383,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2012","2012",88.59431,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2013","2013",88.83575,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2014","2014",89.26255,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2015","2015",89.55494,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40510","World","2016","2016",89.87834,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","BOL","Bolivia (Plurinational State of)","2012","2012",0.72136,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","BOL","Bolivia (Plurinational State of)","2015","2015",0.65407,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","SLE","Sierra Leone","2013","2013",7.13478,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2012","2012",85.6962,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2013","2013",85.66837,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2014","2014",87.39595,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2015","2015",87.92208,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HND","Honduras","2016","2016",89.04894,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","PHL","Philippines","2013","2013",1.00811,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","AGO","Angola","2014","2014",79.97415,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","2012","2012",84.84873,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","2013","2013",82.72068,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","GTM","Guatemala","2014","2014",86.75616,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2012","2012",91.33785,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2013","2013",91.48424,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2014","2014",91.72943,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","BRA","Brazil","2015","2015",92.0479,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2012","2012",97.89454,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2013","2013",98.07913,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2014","2014",98.09372,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2015","2015",98.14326,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","ESP","Spain","2016","2016",98.25051,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","COM","Comoros","2012","2012",42.63729,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TKM","Turkmenistan","2014","2014",99.8,"‡","UIS Estimation"
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MLI","Mali","2015","2015",13.60144,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2012","2012",99.48618,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2013","2013",99.53182,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2014","2014",99.5596,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2015","2015",99.59143,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2016","2016",99.65054,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2012","2012",93.19975,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2013","2013",93.31332,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2014","2014",93.78325,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2015","2015",93.9322,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40515","East Asia and the Pacific","2016","2016",94.10889,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2012","2012",75.58978,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2013","2013",76.24995,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2014","2014",77.55537,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2015","2015",77.03146,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","MEX","Mexico","2016","2016",78.88511,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SUR","Suriname","2012","2012",90.99791,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","CUB","Cuba","2012","2012",1.0004,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","COL","Colombia","2014","2014",79.60458,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","COL","Colombia","2015","2015",79.89859,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","COL","Colombia","2016","2016",81.4384,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2012","2012",98.01185,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2013","2013",98.02189,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2014","2014",98.03391,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2015","2015",98.0035,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40043","Upper middle income countries","2016","2016",98.01276,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","BWA","Botswana","2014","2014",40.7,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2013","2013",33.5966,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SEN","Senegal","2017","2017",39.79856,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","GLP","Guadeloupe","2014","2014",1.03771,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","LSO","Lesotho","2014","2014",76.6352,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","EGY","Egypt","2012","2012",89.28192,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","EGY","Egypt","2013","2013",92.02342,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","EGY","Egypt","2017","2017",93.9236,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TCD","Chad","2015","2015",38.9182,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TCD","Chad","2016","2016",31.32879,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","ALB","Albania","2012","2012",0.99642,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2012","2012",96.95013,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2014","2014",96.94898,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2015","2015",97.10638,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PER","Peru","2016","2016",97.18846,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2013","2013",95.25126,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2015","2015",94.65912,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","KWT","Kuwait","2012","2012",98.78226,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","KWT","Kuwait","2013","2013",99.15375,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","KWT","Kuwait","2015","2015",99.25909,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","KWT","Kuwait","2017","2017",99.24358,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2012","2012",98.95525,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2013","2013",98.92976,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2014","2014",98.83889,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2015","2015",98.9276,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2016","2016",99.15242,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2017","2017",98.9326,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","TJK","Tajikistan","2014","2014",97.1,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2012","2012",91.80463,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2013","2013",91.99458,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2014","2014",92.31065,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2015","2015",92.53836,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2016","2016",92.75883,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","KEN","Kenya","2014","2014",0.99077,"‡","UIS Estimation"
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","IRN","Iran (Islamic Republic of)","2012","2012",20.64465,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","IRN","Iran (Islamic Republic of)","2013","2013",22.46233,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","IRN","Iran (Islamic Republic of)","2014","2014",22.445,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","IRN","Iran (Islamic Republic of)","2016","2016",24.88208,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","MDG","Madagascar","2012","2012",0.91009,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MTQ","Martinique","2014","2014",99.7,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2012","2012",99.77577,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2013","2013",99.78936,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2014","2014",99.78899,"+","National Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2015","2015",99.78806,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","AZE","Azerbaijan","2016","2016",99.79006,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","UKR","Ukraine","2012","2012",1.00026,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2014","2014",94.99074,"+","National Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2015","2015",96.63287,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2016","2016",96.63083,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","OMN","Oman","2017","2017",97.36553,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TZA","United Republic of Tanzania","2012","2012",85.94,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TZA","United Republic of Tanzania","2015","2015",85.75514,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2012","2012",93.55991,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2013","2013",93.61654,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2014","2014",93.77056,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2015","2015",93.86315,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40030","Middle income countries","2016","2016",93.95929,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","BDI","Burundi","2014","2014",24.93363,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","MDV","Maldives","2014","2014",1.00174,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","LAO","Lao People's Democratic Republic","2015","2015",94.40438,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","2012","2012",51.59267,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","CIV","Côte d'Ivoire","2014","2014",50.7019,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","SAU","Saudi Arabia","2013","2013",36.59812,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2012","2012",93.58785,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2013","2013",94.46626,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2014","2014",93.73455,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2015","2015",94.87442,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","PRY","Paraguay","2016","2016",93.83505,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","LKA","Sri Lanka","2016","2016",80.96995,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","LKA","Sri Lanka","2017","2017",80.32131,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","GLP","Guadeloupe","2014","2014",99.82,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2012","2012",81.73585,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2013","2013",83.05539,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2014","2014",83.4985,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2015","2015",83.87195,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40525","Arab States","2016","2016",84.18738,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2012","2012",89.2824,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2013","2013",89.35796,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2014","2014",89.55434,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2015","2015",89.7069,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40510","World","2016","2016",89.83772,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2012","2012",97.10705,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","BOL","Bolivia (Plurinational State of)","2015","2015",96.52275,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2012","2012",0.88227,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2013","2013",0.8907,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2014","2014",0.89071,,
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2016","2016",0.89414,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","GTM","Guatemala","2012","2012",91.94237,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","GTM","Guatemala","2013","2013",89.77037,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","GTM","Guatemala","2014","2014",93.26925,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","CHL","Chile","2013","2013",1.00078,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","CHL","Chile","2015","2015",1.00174,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","MDA","Republic of Moldova","2012","2012",94.39421,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","MWI","Malawi","2014","2014",68.20148,"‡","UIS Estimation"
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","MWI","Malawi","2015","2015",62.16461,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2012","2012",95.98721,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2013","2013",96.29856,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2014","2014",96.29226,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2015","2015",96.99961,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2016","2016",97.24561,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAK","Pakistan","2012","2012",80.28826,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAK","Pakistan","2013","2013",79.40381,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAK","Pakistan","2014","2014",79.76598,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TUR","Turkey","2012","2012",99.5905,"+","National Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TUR","Turkey","2013","2013",99.68914,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TUR","Turkey","2014","2014",99.74698,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TUR","Turkey","2015","2015",99.8061,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TUR","Turkey","2016","2016",99.85979,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","COM","Comoros","2012","2012",21.85516,"‡","UIS Estimation"
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","MLI","Mali","2015","2015",0.64779,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","ESP","Spain","2012","2012",91.17173,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","ESP","Spain","2013","2013",91.82898,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","ESP","Spain","2014","2014",92.12984,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","ESP","Spain","2015","2015",92.33815,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","ESP","Spain","2016","2016",92.96259,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PSE","Palestine","2012","2012",99.28733,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PSE","Palestine","2013","2013",99.34833,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PSE","Palestine","2014","2014",99.36351,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PSE","Palestine","2015","2015",99.34061,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PSE","Palestine","2016","2016",99.38371,,
"LR_AG65T99_F","Elderly literacy rate, population 65+ years, female (%)","SVN","Slovenia","2014","2014",99.2,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MOZ","Mozambique","2015","2015",62.66699,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","ECU","Ecuador","2012","2012",0.90058,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","ECU","Ecuador","2013","2013",0.87499,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","ECU","Ecuador","2014","2014",0.87879,"‡","UIS Estimation"
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","ECU","Ecuador","2015","2015",0.86806,"‡","UIS Estimation"
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","ECU","Ecuador","2016","2016",0.87542,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2012","2012",98.54786,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2013","2013",98.56895,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2014","2014",98.66567,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2015","2015",98.64931,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2016","2016",98.65114,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","MEX","Mexico","2012","2012",80.17614,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","MEX","Mexico","2013","2013",80.37546,,
