;
"IQ","President Fuad MASUM (since 24 July 2014); Vice Presidents Ayad ALLAWI (since 9 September 2014), Nuri al-MALIKI (since 8 September 2014), Usama al-NUJAYFI (since 9 September 2014)"
"IE","President Michael D. HIGGINS (since 11 November 2011)"
"IM","Lord of Mann Queen ELIZABETH II (since 6 February 1952); represented by Lieutenant Governor Sir Richard GOZNEY (since 27 May 2016)"
"IL","President Reuven RIVLIN (since 27 July 2014)"
"IT","President Sergio MATTARELLA (since 3 February 2015)"
"JM","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Dr. Patrick L. ALLEN (since 26 February 2009)"
"JP","Emperor AKIHITO (since 7 January 1989); note - The Imperial Council ruled on 2 December 2017 that the Emperor will be allowed to abdicate in April 2019"
"JE","Queen ELIZABETH II (since 6 February 1952); represented by Lieutenant Governor Sir Stephen DALTON (since 13 March 2017)"
"JO","King ABDALLAH II (since 7 February 1999); Crown Prince HUSSEIN (born 28 June 1994), eldest son of King ABDALLAH II"
"KZ","President Nursultan Abishuly NAZARBAYEV (chairman of the Supreme Soviet from 22 February 1990, elected president 1 December 1991)"
"KE","President Uhuru KENYATTA (since 9 April 2013); Deputy President William RUTO (since 9 April 2013); note - the president is both chief of state and head of government"
"KI","President Taneti MAAMAU (since 11 March 2016); Vice President Kourabi NENEM (since 17 March 2016); note - the president is both chief of state and head of government"
"KP","Supreme People's Assembly President KIM Yong Nam (since 5 September 1998); note - functions as the technical head of state and performs related duties, such as receiving ambassadors' credentials"
"KR","President MOON Jae-in (since 10 May 2017); note - President PARK Geun-hye (since 25 February 2013) was impeached by the National Assembly on 9 December 2016; PARK's impeachment was upheld by the Constitutional Court and she was removed from office on 9 March 2017"
"XK","President Hashim THACI (since 7 April 2016)"
"KW","Amir SABAH al-Ahmad al-Jabir al-Sabah (since 29 January 2006); Crown Prince NAWAF al-Ahmad al-Jabir al-Sabah (born 25 June 1937)"
"KG","President Sooronbay JEENBEKOV (since 24 November 2017)"
"LA","President BOUNNYANG Vorachit (since 20 April 2016); Vice President PHANKHAM Viphavan (since 20 April 2016)"
"LV","President Raimonds VEJONIS (since 8 July 2015)"
"LB","President Michel AWN (since 31 October 2016)"
"LS","King LETSIE III (since 7 February 1996); note - King LETSIE III formerly occupied the throne from November 1990 to February 1995 while his father was in exile"
"LR","President George WEAH (since 22 January 2018); Vice President Jewel TAYLOR (since 22 January 2018); note - the president is both chief of state and head of government"
"LY","Chairman, Presidential Council, Fayiz al-SARAJ (since December 2015)"
"LI","Prince HANS-ADAM II (since 13 November 1989, assumed executive powers on 26 August 1984); Heir Apparent and Regent of Liechtenstein Prince ALOIS (son of the monarch, born 11 June 1968); note - on 15 August 2004, HANS-ADAM II transferred the official duties of the ruling prince to ALOIS, but HANS-ADAM II retains status of chief of state"
"LT","President Dalia GRYBAUSKAITE (since 12 July 2009)"
"LU","Grand Duke HENRI (since 7 October 2000); Heir Apparent Prince GUILLAUME (son of the monarch, born 11 November 1981)"
"MO","President of China XI Jinping (since 14 March 2013)"
"MK","President Gjorge IVANOV (since 12 May 2009)"
"MG","President Hery Martial RAJAONARIMAMPIANINA Rakotoarimana (since 25 January 2014)"
"MW","President Arthur Peter MUTHARIKA (since 31 May 2014); Vice President Saulos CHILIMA (since 31 May 2014); note - the president is both chief of state and head of government"
"MY","King MUHAMMAD V (formerly known as Tuanku Muhammad Faris Petra) (selected on 14 October 2016; installed on 13 December 2016); note - the position of the king is primarily ceremonial, but he is the final arbiter on the appointment of the prime minister"
"MV","President Abdulla YAMEEN Abdul Gayoom (since 17 November 2013); Vice President Abdulla JIHAD (since 21 June 2016); the president is both chief of state and head of government; note - Vice President Mohamed JAMEEL was removed from office 22 July 2015 and Vice President Ahmed ADEEB Abdul Ghafoor was removed from office 5 November 2015"
"ML","President Ibrahim Boubacar KEITA (since 4 September 2013)"
"MT","President Marie-Louise Coleiro PRECA (since 4 April 2014)"
"MH","President Hilda C. HEINE (since 28 January 2016); note - the president is both chief of state and head of government"
"MR","President Mohamed Ould Abdel AZIZ (since 5 August 2009); note - AZIZ deposed President Sidi Ould Cheikh ABDELLAHI in a coup and installed himself as president in August 2008; he subsequently retired from the military, stepped down from the appropriated presidency in April 2009 to run for the legitimate presidency; he was elected president in July 2009 and reelected in June 2014"
"MU","Acting President Paramaslyum (aka Barlen) Pillay VYAPOORY (since 23 March 2018); Vice President (vacant); note - President Ameenah GURIB-FAKIM (since 5 June 2015) resigned on 23 March 2018 amid a credit card scandal"
"MX","President Enrique PENA NIETO (since 1 December 2012); note - the president is both chief of state and head of government"
"FM","President Peter M. CHRISTIAN (since 11 May 2015); Vice President Yosiwo P. GEORGE (since 11 May 2015); note - the president is both chief of state and head of government"
"MD","President Igor DODON (since 23 December 2016); note – in 2017-18, DODON was temporarily suspended 3 times by the Moldovan Constitutional Court for rejecting ministerial appointments and for refusing to sign a law; Parliamentary Chairman, Andrian CANDU, has assumed some of the presidential functions"
"MC","Prince ALBERT II (since 6 April 2005)"
"MN","President Khaltmaa BATTULGA (since 10 July 2017)"
"ME","President Milo DJUKANOVIC (since 20 May 2018)"
"MS","Queen ELIZABETH II (since 6 February 1952); represented by Governor Andrew PEARCE (since 1 February 2018)"
"MA","King MOHAMMED VI (since 30 July 1999)"
"MZ","President Filipe Jacinto NYUSI (since 15 January 2015)"
"NA","President Hage GEINGOB (since 21 March 2015); Vice President Nangola MBUMBA (since 8 February 2018); note - the president is both chief of state and head of government"
"NR","President Baron WAQA (since 11 June 2013); note - the president is both chief of state and head of government"
"NP","President Bidhya Devi BANDHARI (since 29 October 2015); Vice President Nanda Bahadar PUN (since 31 October 2015)"
"NL","King WILLEM-ALEXANDER (since 30 April 2013); Heir Apparent Princess Catharina-Amalia (daughter of King WILLEM-ALEXANDER, born 7 December 2003)"
"NC","President Emmanuel MACRON (since 14 May 2017); represented by High Commissioner Thierry LATASTE (since 20 June 2016)"
"NZ","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Dame Patricia Lee REDDY (since 28 September 2016)"
"NI","President Jose Daniel ORTEGA Saavedra (since 10 January 2007); Vice President Rosario MURILLO Zambrana (since 10 January 2017); note - the president is both chief of state and head of government"
"NE","President ISSOUFOU Mahamadou (since 7 April 2011)"
"NG","President Maj. Gen. (ret.) Muhammadu BUHARI (since 29 May 2015); Vice President Oluyemi "Yemi" OSINBAJO (since 29 May 2015); note - the president is both chief of state, head of government, and commander-in-chief of the armed forces"
"NU","Queen ELIZABETH II (since 6 February 1952); represented by Governor General of New Zealand Governor General Dame Patricia Lee REDDY (since 28 September 2016); the UK and New Zealand are represented by New Zealand High Commissioner Ross ARDEN (since February 2014)"
"NF","Queen ELIZABETH II (since 6 February 1952); represented by Governor General of the Commonwealth of Australia General Sir Peter COSGROVE (since 28 March 2014)"
"MP","President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017)"
"NO","King HARALD V (since 17 January 1991); Heir Apparent Crown Prince HAAKON MAGNUS (son of the monarch, born 20 July 1973)"
"OM","Sultan and Prime Minister QABOOS bin Said Al-Said (sultan since 23 July 1970 and prime minister since 23 July 1972); note - the monarch is both chief of state and head of government"
"PK","hief of state: President Mamnoon HUSSAIN (since 9 September 2013)
head of government: Prime Minister Imran KHAN (since 18 August 2018)
cabinet: Cabinet appointed by the president upon the advice of the prime minister
elections/appointments: president indirectly elected by the Electoral College consisting of members of the Senate, National Assembly, and provincial assemblies for a 5-year term (limited to 2 consecutive terms); election last held on 9 September 2013 (next to be held on 4 September 2018); prime minister elected by the National Assembly
election results: Mamnoon HUSSAIN elected president; Mamnoon HUSSAIN (PML-N) 432 votes, Wajihuddin AHMED (PTI) 77 votes; Imran KHAN elected prime minister: National Assembly vote - Imran KHAN (PTI) 176, Shebaz SHARIF (PML-N) 96"
"PW","President Tommy REMENGESAU (since 17 January 2013); Vice President Antonio BELLS (since 17 January 2013); note - the president is both chief of state and head of government"
"PA","President Juan Carlos VARELA (since 1 July 2014); Vice President Isabel de SAINT MALO de Alvarado (since 1 July 2014); note - the president is both chief of state and head of government"
"PG","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Grand Chief Sir Bob DADAE (since 28 February 2017)"
"PY","President Mario Abdo BENITEZ (since 15 August 2018); Vice President Hugo Adalberto VELAZQUEZ Moreno (since 15 August 2018); note - the president is both chief of state and head of government"
"PE","President Martin Alberto VIZCARRA Cornejo (since 23 March 2018); First Vice President Mercedes Rosalba ARAOZ Fernandez (since 23 March 2018); Second Vice President (vacant); note - the 21 March 2018 resignation of President Pedro Pablo KUCZYNSKI Godard (since 28 July 2016) was accepted by parliament on 23 March 2018; the president is both chief of state and head of government"
"PH","President Rodrigo DUTERTE (since 30 June 2016); Vice President Leni ROBREDO (since 30 June 2016); note - the president is both chief of state and head of government"
"PN","Queen ELIZABETH II (since 6 February 1952); represented by UK High Commissioner to New Zealand and Governor (nonresident) of the Pitcairn Islands Laura CLARK (since 25 January 2018)"
"PL","President Andrzej DUDA (since 6 August 2015)"
"PT","President Marcelo REBELO DE SOUSA (since 9 March 2016)"
"PR","President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017)"
"QA","Amir TAMIM bin Hamad Al Thani (since 25 June 2013)"
"RO","President Klaus Werner IOHANNIS (since 21 December 2014)"
"RU","President Vladimir Vladimirovich PUTIN (since 7 May 2012)"
"RW","President Paul KAGAME (since 22 April 2000)"
"BL","President Emmanuel MACRON (since 14 May 2017), represented by Prefect Anne LAUBIES (since 8 June 2015)"
"SH","Queen ELIZABETH II (since 6 February 1952)"
"KN","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Samuel W.T. SEATON (since 2 September 2015); note - SEATON was acting Governor General from 20 May to 2 September 2015"
"LC","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Neville CENAC (since 12 January 2018)"
"MF","President Emmanuel MACRON (since 14 May 2017); represented by Prefect Anne LAUBIES (since 8 June 2015)"
"PM","President Emmanuel MACRON (since 14 May 2017); represented by Prefect Thierry DEVIMEUX (since 17 January 2018)"
"VC","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Sir Fredrick Nathaniel BALLANTYNE (since 2 September 2002)"
"WS","TUIMALEALI'IFANO Va’aletoa Sualauvi II (since 21 July 2017)"
"SM","co-chiefs of state Captain Regent Stefano PALMIERI and Captain Regent Matteo CIACCI (for the period 1 April 2018 - 1 October 2018)"
"ST","President Evaristo CARVALHO (since 3 September 2016)"
"SA","King and Prime Minister SALMAN bin Abd al-Aziz Al Saud (since 23 January 2015); Crown Prince MUHAMMAD BIN SALMAN bin Abd al-Aziz Al Saud (born 31 August 1985); note - the monarch is both chief of state and head of government"
"SN","President Macky SALL (since 2 April 2012)"
"RS","President Aleksandar VUCIC (since 31 May 2017)"
"SC","President Danny FAURE (since 16 October 2016); Vice President Vincent MERITON (since 28 October 2016); note - James Alix MICHEL resigned the presidency effective 16 October 2016; the president is both chief of state and head of government"
"SL","President Julius Maada BIO (since 4 April 2018); Vice President Mohamed Juldeh JALLOH (since 4 April 2018) ; note - the president is both chief of state and head of government"
"SG","President HALIMAH Yacob (since 14 September 2017); note - President TAN's term ended on 31 August 2017; HALIMAH is Singapore's first female president; the head of the Council of Presidential Advisors, J.Y. PILLAY, served as acting president until HALIMAH was sworn in as president on 14 September 2017"
"SX","King WILLEM-ALEXANDER of the Netherlands (since 30 April 2013); represented by Governor General Eugene HOLIDAY (since 10 October 2010)"
"SK","President Andrej KISKA (since 15 June 2014)"
"SI","President Borut PAHOR (since 22 December 2012)"
"SB","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Frank KABUI (since 7 July 2009)"
"SO","President Mohamed ABDULLAHI Mohamed "Farmaajo" (since 8 February 2017)"
"ZA","President Matamela Cyril RAMAPHOSA (since 15 February 2018); Deputy President David MABUZA (26 February 2018); note - the president is both chief of state and head of government; Jacob ZUMA resigned the presidency on 14 February 2018"
"SS","President Salva KIIR Mayardit (since 9 July 2011); First Vice President Taban Deng GAI (since 26 July 2016); Second Vice President James Wani IGGA (since 26 April 2016); note - the president is both chief of state and head of government"
"ES","King FELIPE VI (since 19 June 2014); Heir Apparent Princess LEONOR, Princess of Asturias (daughter of the monarch, born 31 October 2005)"
"LK","President Maithripala SIRISENA (since 9 January 2015); note - the president is both chief of state and head of government; Ranil WICKREMESINGHE (since 9 January 2015) holds the title of prime minister"
"SD","President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); First Vice President BAKRI Hassan Salih (since 3 December 2013) and prime minister (since 2 March 2017); Second Vice President Hasabu Mohamed ABDEL RAHMIN (since 3 December 2013); note - the president is both chief of state and head of government"
"SR","President Desire Delano BOUTERSE (since 12 August 2010); Vice President Ashwin ADHIN (since 12 August 2015); note - the president is both chief of state and head of government"
"SJ","King HARALD V of Norway (since 17 January 1991); Heir Apparent Crown Prince Haakon MAGNUS (son of the king, born 20 July 1973)"
"SE","King CARL XVI GUSTAF (since 19 September 1973); Heir Apparent Princess VICTORIA Ingrid Alice Desiree (daughter of the monarch, born 14 July 1977)"
"CH","President of the Swiss Confederation Alain BERSET (since 1 January 2018); Vice President Ueli MAURER (since 1 January 2018); note - the Federal Council, which is comprised of 7 federal councillors, constitutes the federal government of Switzerland; council members rotate the 1-year term of federal president (chief of state and head of government)"
"SY","President Bashar al-ASAD (since 17 July 2000); Vice President Najah al-ATTAR (since 23 March 2006)"
"TW","President TSAI Ing-wen (since 20 May 2016); Vice President CHEN Chien-jen (since 20 May 2016)"
"TJ","President Emomali RAHMON (since 6 November 1994; head of state and Supreme Assembly chairman since 19 November 1992)"
"TZ","President John MAGUFULI, Dr. (since 5 November 2015); Vice President Samia SULUHU (since 5 November 2015); note - the president is both chief of state and head of government"
"TH","King WACHIRALONGKON Bodinthrathepphayawarangkun, also spelled Vajiralongkorn Bodindradebayavarangkun, (since 1 December 2016); note - King PHUMIPHON Adunyadet, also spelled BHUMIBOL Adulyadej (since 9 June 1946) died 13 October 2016"
"TL","President Francisco GUTERRES (since 20 May 2017); note - the president plays a largely symbolic role but is the commander in chief of the military and is able to veto legislation, dissolve parliament, and call national elections"
"TG","President Faure GNASSINGBE (since 4 May 2005)"
"TK","Queen ELIZABETH II (since 6 February 1952); represented by Governor General of New Zealand Governor General Dame Patricia Lee REDDY (since 28 September 2016); New Zealand is represented by Administrator Jonathan KINGS (since 30 August 2017)"
"TO","King TUPOU VI (since 18 March 2012); Heir Apparent Crown Prince Siaosi Manumataogo 'Alaivahamama'o 'Ahoeitu Konstantin Tuku'aho, son of the king (born 17 September 1985); note - on 18 March 2012, King George TUPOU V died and his brother, Crown Prince TUPOUTO'A Lavaka, assumed the throne as TUPOU VI"
"TT","President Paula-Mae WEEKES (since 19 March 2018)"
"TN","President Beji CAID ESSEBSI (since 31 December 2014)"
"TR","President Recep Tayyip ERDOGAN (since 10 August 2014); Vice President Fuat OKTAY (since 9 July 2018)"
"TM","President Gurbanguly BERDIMUHAMEDOW (since 14 February 2007); note - the president is both chief of state and head of government"
"TC","Queen ELIZABETH II (since 6 February 1952); represented by Governor John FREEMAN (since 17 October 2016)"
"TV","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Iakoba TAEIA Italeli (since 16 April 2010)"
"UG","President Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Vice President Edward SSEKANDI (since 24 May 2011); note - the president is both head of state and head of government"
"UA","President Petro POROSHENKO (since 7 June 2014)"
