;
"CX","Administrator Natasha GRIGGS (since 5 October 2018)
elections/appointments: the monarchy is hereditary; governor general appointed by the monarch on the recommendation of the Australian prime minister; administrator appointed by the governor general of Australia for a 2-year term and represents the monarch and Australia"
"CC","Administrator Natasha GRIGGS (since 5 October 2018)"
"CO","President Ivan DUQUE Marquez (since 7 August 2018); Vice President Marta Lucia RAMIREZ Blanco (since 7 August 2018)"
"KM","President AZALI Assoumani (since 26 May 2016); Vice Presidents: Abdallah Said SAROUMA, (since 26 May 2016), Djaffer Ahmed SAID (since 26 May 2016), and Moustadroine ABDOU (since 26 May 2016)"
"CD","Prime Minister Bruno TSHIBALA (since 7 April 2017); Deputy Prime Ministers Jose MAKILA, Leonard She OKITUNDU, Henri MOVA Sankanyi (since February 2018)"
"CG","Prime Minister (vacant); Prime Minister Clement MOUAMBA (since 23 April 2016) resigned on 18 August 2017; note - a constitutional referendum held in 2015 approved the change of the head of government from the president to the prime minister"
"CK","Prime Minister Henry PUNA (since 30 November 2010)"
"CR","President Carlos ALVARADO Quesada (since 8 May 2018); First Vice President Epsy CAMPBELL Barr (since 8 May 2018); Second Vice President Marvin RODRIGUEZ Cordero (since 8 May 2018)"
"CI","Prime Minister Amadou Gon COULIBALY (since 11 January 2017)"
"HR","Prime Minister Andrej PLENKOVIC (since 19 October 2016); Deputy Prime Ministers Damir KRSTICEVIC (since 19 October 2016), Predrag STROMAR (since 9 June 2017), Marija Pejcinovic BURIC (since 19 June 2017), and Tomislav TOLUSIC (since 25 May 2018)"
"CU","President of the Council of State and President of the Council of Ministers Miguel DIAZ-CANEL Bermudez (since 19 April 2018); First Vice President of the Council of State and First Vice President of the Council of Ministers Salvador Antonio VALDES Mesa (since 19 April 2018)"
"CW","Prime Minister Ivar ASJES (since 7 June 2013)"
"CY","President Nikos ANASTASIADES (since 28 February 2013)"
"CZ","Prime Minister Andrej BABIS (since 13 December 2017); First Deputy Prime Minister Jan HAMACEK (since 27 June 2018), Deputy Prime Minister Richard BRABEC (since 13 December 2017); note - the current government of Prime Minister Andrej BABIS was sworn in on 13 December 2017 but lost a confidence vote on 16 January 2018 and resigned the next day; President Milos ZEMAN accepted the resignation on 24 January 2018; the government is currently ruling in resignation"
"DK","Prime Minister Lars LOKKE RASMUSSEN (since 28 June 2015)"
"DJ","Prime Minister Abdoulkader Kamil MOHAMED (since 1 April 2013)"
"DM","Prime Minister Roosevelt SKERRIT (since 8 January 2004)"
"DO","President Danilo MEDINA Sanchez (since 16 August 2012); Vice President Margarita CEDENO DE FERNANDEZ (since 16 August 2012)"
"EC","President Lenin MORENO Garces (since 24 May 2017); Vice President Maria Alejandra VICUNA Munoz (since 6 January 2018)"
"EG","Prime Minister Mostafa MADBOULY (since 7 June 2018); note - Prime Minister Sherif ISMAIL (since 12 September 2015) resigned 6 June 2018"
"SV","President Salvador SANCHEZ CEREN (since 1 June 2014); Vice President Salvador Oscar ORTIZ (since 1 June 2014)"
"GQ","Prime Minister Francisco Pascual Eyegue OBAMA Asue (since 23 June 2016); First Deputy Prime Minister Clemente Engonga NGUEMA Onguene (since 23 June 2016); Second Deputy Prime Minister Andres Jorge Mbomio Nsem ABUA (since 23 June 2016); Third Deputy Prime Minister Alfonso Nsue MOKUY (since 23 June 2016)"
"ER","President ISAIAS Afworki (since 8 June 1993)"
"EE","Juri RATAS (since 23 November 2016)"
"ET","Prime Minister ABIY Ahmed (since 2 April 2018); Deputy Prime Minister DEMEKE Mekonnen Hassen (since 29 November 2012); note - Prime Minister HAILEMARIAM Desalegn (since 21 September 2012) resigned on 15 February 2018"
"FK","Chief Executive Barry ROWLAND (since 3 October 2016)"
"FO","Prime Minister Aksel V. JOHANNESEN (since 15 September 2015)"
"FJ","Prime Minister Voreqe "Frank" BAINIMARAMA (since 22 September 2014)"
"FI","Prime Minister Juha SIPILA (since 28 May 2015)"
"FR","Prime Minister Edouard PHILIPPE (since 15 May 2017)"
"PF","President of French Polynesia Edouard FRITCH (since 12 September 2014)"
"TF","chief of state: President Emmanuel MACRON (since 14 May 2017), represented by Prefect Cecile POZZO DI BORGO (since 13 October 2014)"
"GA","Prime Minister Emmanuel ISSOZE-NGONDET (since 3 May 2018); note - Prime Minister Emmanuel ISSOZE-NGONDET (since 29 September 2016) resigned on 1 May 2018, after the constitutional court dissolved the National Assembly and ordered his resignation when elections failed to be held by 30 April 2018; reinstated by President Ali BONGO"
"GM","President Adama BARROW (since 19 January 2017); Vice President Fatoumata JALLOW-TAMBAJANG (since 23 January 2017)"
"GE","Prime Minister Mamuka BAKHTADZE (since 20 June 2018); Deputy Prime Minister Giorgi GAKHARIA"
"DE","Chancellor Angela MERKEL (since 22 November 2005)"
"GH","President Nana Addo Dankwa AKUFO-ADDO (since 7 January 2017); Vice President Mahamudu BAWUMIA (since 7 January 2017)"
"GI","Chief Minister Fabian PICARDO (since 9 December 2011)"
"GR","Prime Minister Alexios TSIPRAS (since 21 September 2015); note - Vassiliki THANOU-CHRISTOFILOU served as interim prime minister beginning on 27 August 2015 for less than a month after the resignation of Alexios TSIPRAS on 20 August 2015; she was Greece's first female prime minister. Alexios TSIPRAS did return as Prime Minister with a mandate to implement a bailout package"
"GL","Premier Kim KIELSEN (since 30 September 2014)"
"GD","Prime Minister Keith MITCHELL (since 20 February 2013)"
"GU","Governor Eddie CALVO (since 3 January 2011); Lieutenant Governor Ray TENORIO (since 3 January 2011)"
"GT","President Jimmy Ernesto MORALES Cabrera (since 14 January 2016); Vice President Jafeth CABRERA Franco (since 14 January 2016)"
"GG","Chief Minister Gavin ST PIER (since 6 May 2016); Bailiff Sir Richard COLLAS (since 23 March 2012); note - the chief minister is the president of the Policy and Resources Committee and is the de facto head of government; the Policy and Resources Committee, elected by the States of Deliberation, functions as the executive; the 5 members all have equal voting rights"
"GN","Prime Minister Ibrahima FOFANA (since 22 May 2018)"
"GW","Prime Minister Aristides GOMES (since 16 April 2018)"
"GY","President David GRANGER (since 16 May 2015); Vice Presidents Sydney ALLICOCK, Carl Barrington GREENIDGE, Moses Veerasammy NAGAMOOTOO, and Hemraj RAMJATTAN (since 20 May 2015); Prime Minister Moses Veerasammy NAGAMOOTOO (since 20 May 2015)"
"HT","Prime Minister (vacant); note - Prime Minister Dr. Jack Guy LAFONTANT (since 21 March 2017) resigned on 14 July 2018, after plans to raise fuel prices sparked riots"
"VA","Secretary of State Cardinal Pietro PAROLIN (since 15 October 2013); note - Head of Government of Vatican City is President Cardinal Giuseppe BERTELLO (since 1 October 2011)"
"HN","President Juan Orlando HERNANDEZ Alvarado (since 27 January 2014); Vice Presidents Ricardo ALVAREZ, Rossana GUEVARA, and Lorena HERRERA (since 27 January 2014)"
"HK","Chief Executive Carrie LAM (since 1 July 2017)"
"HU","Prime Minister Viktor ORBAN (since 29 May 2010)"
"IS","Prime Minister Katrin JAKOBSDOTTIR (since 30 November 2017)"
"IN","Prime Minister Narendra MODI (since 26 May 2014)"
"ID","President Joko WIDODO (since 20 October 2014); Vice President Jusuf KALLA (since 20 October 2014)"
"IR","President Hasan Fereidun RUHANI (since 3 August 2013); First Vice President Eshaq JAHANGIRI (since 5 August 2013)"
"IQ","Prime Minister Haydar al-ABADI (since 8 September 2014)"
"IE","Taoiseach (Prime Minister) Leo VARADKAR (since 14 June 2017)"
"IM","Chief Minister Howard QUAYLE (since 4 October 2016)"
"IL","Prime Minister Binyamin NETANYAHU (since 31 March 2009, most recently reformed on 15 May 2015)"
"IT","Prime Minister Giuseppe CONTE (since 1 June 2018); the prime minister's official title is President of the Council of Ministers"
"JM","Prime Minister Andrew HOLNESS (since 3 March 2016)"
"JP","Prime Minister Shinzo ABE (since 26 December 2012); Deputy Prime Minister Taro ASO (since 26 December 2012)"
"JE","Chief Minister John LE FONDRE (since 8 June 2018); Bailiff William BAILHACHE (since 29 January 2015)"
"JO","Prime Minister Omar al-RAZZAZ (since 4 June 2018)"
"KZ","Prime Minister Bakytzhan SAGINTAYEV (since 9 September 2016); First Deputy Prime Minister Askar MAMIN (since 13 September 2016)"
"KE","President Uhuru KENYATTA (since 9 April 2013); Deputy President William RUTO (since 9 April 2013); note - position of the prime minister abolished after the March 2013 elections"
"KI","President Taneti MAAMAU (since 11 March 2016); Vice President Kourabi NENEM (since 17 March 2016)"
"KP","State Affairs Commission Chairman KIM Jong Un (since 17 December 2011); note - functions as the commander-in-chief and chief executive"
"KR","Prime Minister LEE Nak-yon (since 1 June 2017); Deputy Prime Ministers KIM Dong-yeon (since 9 June 2017), KIM Sang-kon (since 4 July 2017)"
"XK","Prime Minister Ramush HARADINAJ (since 9 September 2017); note - Prime Minister Isa MUSTAFA lost no-confidence vote on 10 May 2017, and his government was dismissed"
"KW","Prime Minister JABIR AL-MUBARAK al-Hamad al-Sabah (since 30 November 2011); First Deputy Prime Minister NASIR al-Sabah al-Ahmad al-Sabah (since 12 December 2017); Deputy Prime Ministers SABAH al-KHALD al-Sabah (since 4 August 2013), KHALD al-Jarrah al-Sabah (since December 2016), Anas al-SALEH (since 2015)"
"KG","Prime Minister Mukhammedkalyy ABYLGAZIEV (since 20 April 2018); First Deputy Prime Minister Kubatbek BORONOV (since 20 April 2018); Deputy Prime Minister Jengish RAZAKOV (since 20 April 2018); Deputy Prime Minister Altynay OMURBEKOVA (since 20 April 2018); Deputy Prime Minister Zamirbek ASKAROV (since 20 April 2018)"
"LA","Prime Minister THONGLOUN Sisoulit (since 20 April 2016); Deputy Prime Ministers BOUNTHONG Chitmani, SONXAI Siphandon, SOMDI Douangdi (since 20 April 2016)"
"LV","Prime Minister Maris KUCINSKIS (since 11 February 2016); Deputy Prime Minister Arvils ASERADENS (since 11 February 2016)"
"LB","Prime Minister - Designate Saad al-HARIRI (since 18 December 2016); Deputy Prime Minister Ghassan HASBANI (since 18 December 2016)"
"LS","Prime Minister Thomas Motsoahae THABANE (since 16 June 2017)"
"LR","President George WEAH (since 22 January 2018); Vice President Jewel Taylor (since 22 January 2018)"
"LY","Prime Minister Fayiz al-SARAJ (since December 2015)"
"LI","Prime Minister Adrian HASLER (since 27 March 2013)"
"LT","Prime Minister Saulius SKVERNELIS (since 13 December 2016)"
"LU","Prime Minister Xavier BETTEL (since 4 December 2013); Deputy Prime Minister Etienne SCHNEIDER (since 4 December 2013)"
"MO","Chief Executive Fernando CHUI Sai On (since 20 December 2009)"
"MK","Prime Minister Zoran ZAEV (since 31 May 2017)"
"MG","Prime Minister Christian NTSAY (since 6 June 2018)"
"MW","President Arthur Peter MUTHARIKA (since 31 May 2014); Vice President Saulos CHILIMA (since 31 May 2014)"
"MY","Prime Minister MAHATHIR Mohamad (since 10 May 2018); Deputy Prime Minister WAN AZIZAH Wan Ismail (since 10 May 2018)"
"MV","President Abdulla YAMEEN Abdul Gayoom (since 17 November 2013); Vice President Abdulla JIHAD (since 21 June 2016); note - Vice President Mohamed JAMEEL was removed from office 22 July 2015 and Vice President Ahmed ADHEEB Abdul Ghafoor was removed from office 5 November 2015"
"ML","Prime Minister Soumeylou Boubeye MAIGA (since 31 December 2017)"
"MT","Prime Minister Joseph MUSCAT (since 11 March 2013)"
"MH","President Hilda C. HEINE (since 28 January 2016)"
"MR","Prime Minister Yahya Ould HADEMINE (since 21 August 2014)"
"MU","Prime Minister Pravind JUGNAUTH (since 23 January 2017); note - Prime Minister Sir Anerood JUGNAUTH (since 17 December 2014) stepped down on 23 January 2017 in favor of his son, Pravind Kumar JUGNAUTH, who was then appointed prime minister; Sir Anerood JUGNAUTH now holds the position of Mentor Minister, a position created when he stepped down"
"MX","President Enrique PENA NIETO (since 1 December 2012)"
"FM","President Peter M. CHRISTIAN (since 11 May 2015); Vice President Yosiwo P. GEORGE (since 11 May 2015)"
"MD","Prime Minister Pavel FILIP (since 20 January 2016)"
"MC","Minister of State Serge TELLE (since 1 February 2016)"
"MN","Prime Minister Ukhnaa KHURELSUKH (since 4 October 2017); Deputy Prime Minister Ulziisaikhan ENKHTUVSHUN (since 18 October 2017); note - Prime Minister Jargaltulga ERDENEBAT (since 8 July 2016) was voted out of office by the Parliament on 7 September 2017"
"ME","Prime Minister Dusko MARKOVIC (since 28 November 2016)"
"MS","Premier Donaldson ROMERO (since 12 September 2014); note - effective with The Constitution Order 2010, effective October 2010, the office of premier replaced the office of chief minister"
"MA","Prime Minister Saad-Eddine al-OTHMANI (since 17 March 2017)"
"MZ","President Filipe Jacinto NYUSI (since 15 January 2015); Prime Minister Carlos Agostinho DO ROSARIO (since 17 January 2015)"
"NA","President Hage GEINGOB (since 21 March 2015); Vice President Nangola MBUMBA (since 8 February 2018); Prime Minister Saara KUUGONGELWA-AMADHILA (since 21 March 2015)"
"NR","President Baron WAQA (since 11 June 2013)"
"NP","Prime Minister Khadga Prasad (KP) Sharma OLI (since 15 February 2018); deputy prime ministers (vacant); note - Prime Minister Sher Bahadur DEUBA resigned on 15 February 2018"
"NL","Prime Minister Mark RUTTE (since 14 October 2010; Deputy Prime Ministers (since 26 October 2017) Hugo DE JONGE, Karin Kajsa OLLONGREN, and Carola SCHOUTEN (since 26 October 2017); note - Mark RUTTE heads his third cabinet put in place since 26 October 2017"
"NC","President of the Government Philippe GERMAINE (since 1 April 2015); Vice President Jean-Louis D'ANGLEBERME (since 1 April 2015)"
"NZ","Prime Minister Jacinda ARDERN (since 26 October 2017); Deputy Prime Minister Winston PETERS (since 26 October 2017)"
"NI","President Jose Daniel ORTEGA Saavedra (since 10 January 2007); Vice President Rosario MURILLO Zambrana (since 10 January 2017)"
"NE","Prime Minister Brigi RAFINI (since 7 April 2011)"
"NG","President Maj.Gen. (ret.) Muhammadu BUHARI (since 29 May 2015); Vice President Oluyemi "Yemi" OSINBAJO (since 29 May 2015)"
"NU","Premier Toke TALAGI (since 18 June 2008)"
"NF","Administrator Eric HUTCHINSON (since 1 April 2017)"
"MP","Governor Eloy S. INOS (since 20 February 2013); Lieutenant Governor Ralph TORRES (since 20 February 2013)"
"NO","Prime Minister Erna SOLBERG (since 16 October 2013)"
"OM","Sultan and Prime Minister QABOOS bin Said Al-Said (sultan since 23 July 1970 and prime minister since 23 July 1972)"
"PK","hief of state: President Mamnoon HUSSAIN (since 9 September 2013)
head of government: Prime Minister Imran KHAN (since 18 August 2018)
cabinet: Cabinet appointed by the president upon the advice of the prime minister
elections/appointments: president indirectly elected by the Electoral College consisting of members of the Senate, National Assembly, and provincial assemblies for a 5-year term (limited to 2 consecutive terms); election last held on 9 September 2013 (next to be held on 4 September 2018); prime minister elected by the National Assembly
election results: Mamnoon HUSSAIN elected president; Mamnoon HUSSAIN (PML-N) 432 votes, Wajihuddin AHMED (PTI) 77 votes; Imran KHAN elected prime minister: National Assembly vote - Imran KHAN (PTI) 176, Shebaz SHARIF (PML-N) 96"
"PW","President Tommy REMENGESAU (since 17 January 2013); Vice President Antonio BELLS (since 17 January 2013)"
"PA","President Juan Carlos VARELA (since 1 July 2014); Vice President Isabel de SAINT MALO de Alvarado (since 1 July 2014)"
"PG","Prime Minister Peter Paire O'NEILL (since 2 August 2011); Deputy Prime Minister Charles ABEL (since 4 August 2017)"
"PY","President Mario Abdo BENITEZ (since 15 August 2018); Vice President Hugo Adalberto VELAZQUEZ Moreno (since 15 August 2018)"
"PE","President Martin Alberto VIZCARRA Cornejo (since 23 March 2018); First Vice President Mercedes Rosalba ARAOZ Fernandez (since 23 March 2018); Second Vice President (vacant)"
"PH","President Rodrigo DUTERTE (since 30 June 2016); Vice President Leni ROBREDO (since 30 June 2016)"
"PN","Mayor and Chairman of the Island Council Shawn CHRISTIAN (since 9 November 2016)"
"PL","Prime Minister Mateusz MORAWIECKI (since 11 December 2017); Deputy Prime Ministers Piotr GLINSKI and Jaroslaw GOWIN (since 16 November 2015), Beata SZYDLO (since 11 December 2017)"
"PT","Prime Minister Antonio Luis Santos da COSTA (since 24 November 2015)"
"PR","Governor Ricardo ROSSELLO (since 2 January 2017)"
"QA","Prime Minister ABDALLAH bin Nasir bin Khalifa Al Thani (since 26 June 2013); Deputy Prime Minister and Minister of State for Defense Affairs Khalid bin Mohamed al-Thani (since 14 November 2017); Deputy Prime Minister and Minister of Foreign Affairs Mohamed bin Abdulrahman Al Thani (since 14 November 2017)"
"RO","Prime Minister Viorica DANCILA (since 29 January 2018); Deputy Prime Ministers Gratiela GAVRILESCU (since 29 June 2017), Paul STANESCU (17 October 2017), Viorel STEFAN (since 29 January 2018), Ana BIRCHALL (since 29 January 2018); note - DANCILA is Romania's first woman prime minister"
"RU","Premier Dmitriy Anatolyevich MEDVEDEV (since 8 May 2012); First Deputy Premier Igor Ivanovich SHUVALOV (since 12 May 2008); Deputy Premiers Arkadiy Vladimirovich DVORKOVICH (since 21 May 2012), Olga Yuryevna GOLODETS (since 21 May 2012), Aleksandr Gennadiyevich KHLOPONIN (since 19 January 2010), Dmitriy Nikolayevich KOZAK (since 14 October 2008), Vitaliy Leontyevich MUTKO (since 19 October 2016), Dmitriy Olegovich ROGOZIN (since 23 December 2011), Sergey Eduardovich PRIKHODKO (since 22 May 2013); Yuriy Petrovich TRUTNEV (since 31 August 2013)"
"RW","Prime Minister Edouard NGIRENTE (since 30 August 2017)"
"BL","President of Territorial Council Bruno MAGRAS (since 16 July 2007)"
"SH","Governor Lisa PHILLIPS (since 25 April 2016)"
"KN","Prime Minister Timothy HARRIS (since 18 February 2015); Deputy Prime Minister Shawn RICHARDS (since 22 February 2015)"
"LC","Prime Minister Allen CHASTANET (since 7 June 2016)"
"MF","President of Territorial Council Daniel GIBBS (since 2 April 2017); First Vice President Valerie DAMASEAU (since 2 April 2017)"
"PM","President of Territorial Council Stephane LENORMAND (since 24 October 2017)"
"VC","Prime Minister Ralph E. GONSALVES (since 29 March 2001)"
"WS","Prime Minister TUILA'EPA Lupesoliai Sailele Malielegaoi (since 23 November 1998); Deputy Prime Minister FIAME Naomi Mata’afa (since 2016)"
"SM","Secretary of State for Foreign and Political Affairs Nicola RENZI (since 27 December 2016)"
"ST","Prime Minister Patrice Emery TROVOADA (since 29 November 2014)"
"SA","King and Prime Minister SALMAN bin Abd al-Aziz Al Saud (since 23 January 2015); Crown Prince MUHAMMAD BIN SALMAN bin Abd al-Aziz Al Saud (born 31 August 1985)"
"SN","Prime Minister Mohammed Abdallah Boun DIONNE (since 4 July 2014)"
"RS","Prime Minister Ana BRNABIC (since 29 June 2017)"
"SC","President Danny FAURE (since 16 October 2016); Vice President Vincent MERITON (since 28 October 2016); note - James Alix MICHEL resigned the presidency effective 16 October 2016"
"SL","President Julius Maada BIO (since 4 April 2018); Vice President Mohamed Juldeh JALLOH (since 4 April 2018)"
"SG","Prime Minister LEE Hsien Loong (since 12 August 2004); Deputy Prime Ministers TEO Chee Hean (since 1 April 2009) and Tharman SHANMUGARATNAM (since 21 May 2011)"
"SX","Prime Minister Leona MARLIN-ROMEO (since 15 January 2018)"
"SK","Prime Minister Peter PELLIGRINI (since 22 March 2018); Deputy Prime Ministers Peter KAZIMIR (since 22 March 2018), Richard RASI (since 22 March 2018), Laszlo SOLYMOS (since 22 March 2018), Gabriela MATECNA (since 29 November 2017)"
"SI","Prime Minister Miro CERAR (since 18 September 2014); note - Miro CERAR resigned on 14 March 2018; an early parliamentary election was held on 3 June 2018, but President PAHOR has not nominated a new prime minister because no party has majority support in the parliament; parliament nominated and then approved Marjan SAREC as prime minister-designate on 17 August 2018"
"SB","Prime Minister Rick HOU (since 16 November 2017)"
"SO","Prime Minister Hassan Ali KHAYRE (since 1 March 2017)"
"ZA","President Matamela Cyril RAMAPHOSA (since 15 February 2018); deputy president David MABUZA (26 February 2018)"
"SS","President Salva KIIR Mayardit (since 9 July 2011); First Vice President Taban Deng GAI (since 26 July 2016); Second Vice President James Wani IGGA (since 26 April 2016)"
"ES","President of the Government (Prime Minister-equivalent) Pedro SANCHEZ Perez-Castejon (since 2 June 2018); Vice President (and Minister of the President's Office) Maria del Carmen CALVO Poyato (since 7 June 2018); note - Prime Minister RAJOY was ousted in a non-confidence vote on 1 June 2018"
"LK","President Maithripala SIRISENA (since 9 January 2015)"
"SD","President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); First Vice President BAKRI Hassan Salih (since 3 December 2013) and prime minister (since 2 March 2017); Second Vice President Hasabu Mohamed ABDEL RAHMIN (since 3 December 2013)"
"SR","President Desire Delano BOUTERSE (since 12 August 2010); Vice President Ashwin ADHIN (since 12 August 2015)"
"SJ","Governor Kjerstin ASKHOLT (since 1 October 2015); Assistant Governor Berit SAGFOSSEN (since 1 April 2016)
elections/appointments: none; the monarchy is hereditary; governor and assistant governor responsible to the Polar Department of the Ministry of Justice"
"SE","Prime Minister Stefan LOFVEN (since 3 October 2014); Deputy Prime Minister Isabella LOVIN (since 25 May 2016)"
"CH","President of the Swiss Confederation Alain BERSET (since 1 January 2018); Vice President Ueli MAURER (since 1 January 2018)"
"SY","Prime Minister Imad Muhammad Dib KHAMIS (since 22 June 2016); Deputy Prime Minister Walid al-MUALEM (since 23 June 2012)"
"TW","Premier LAI Ching-te (President of the Executive Yuan) (since 8 September 2017); Vice Premier LIN Hsi-yao, Vice President of the Executive Yuan (since 20 May 2016)"
"TJ","Prime Minister Qohir RASULZODA (since 23 November 2013)"
"TZ","President John MAGUFULI, Dr. (since 5 November 2015); Vice President Samia SULUHU (since 5 November 2015); note - Prime Minister Kassim Majaliwa MAJALIWA (since 20 November 2015) has authority over the day-to-day functions of the government, is the leader of government business in the National Assembly, and is head of the Cabinet"
